time_step,time_stamp,robot_pos_x,robot_pos_y,robot_orien_x,robot_orien_y,robot_orien_z,robot_orien_w,robot_twist_x,robot_twist_y,robot_twist_z,vel_x,vel_y,vel_w,network_delay,c_total_tx_mbps,c_total_rx_mbps,c_total_mbps,c_tx_retires,c_retransmits,c_rssi,c_lqi,c_rssi_status,c_total_tx_mbps2,c_total_rx_mbps2,c_total_mbps2,c_rssi2,c_lqi2,c_rssi_status2,s_total_tx_mbps,s_total_rx_mbps,s_total_mbps,s_tx_retires,s_retransmits,s_rssi,s_lqi,s_rssi_status,s_total_tx_mbps2,s_total_rx_mbps2,s_total_mbps2,s_tx_retires2,s_retransmits2,s_rssi2,s_lqi2,s_rssi_status2
        580,1631567477892371340, -0.018935, -0.000013,  0.000000,  0.000000, -0.003491,  0.999994,  0.000000, -2.000000,  0.000349,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        581,1631567477912367687, -0.018935, -0.000013,  0.000000,  0.000000, -0.003491,  0.999994,  0.000000, -2.000000,  0.001396,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000,-34.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        582,1631567477932356042, -0.018935, -0.000013,  0.000000,  0.000000, -0.003491,  0.999994,  0.000000, -2.000000,  0.000698,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000,-34.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        583,1631567477952367121, -0.018935, -0.000013,  0.000000,  0.000000, -0.003491,  0.999994,  0.000000, -2.000000, -0.000349,  0.000000,  0.000000,  0.000000, -1.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000,-34.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        584,1631567477972277231, -0.018935, -0.000013,  0.000000,  0.000000, -0.003491,  0.999994,  0.000000, -2.000000,  0.000349,  0.000000,  0.000000,  0.000000, -1.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,-34.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        585,1631567477992162979, -0.018935, -0.000013,  0.000000,  0.000000, -0.003491,  0.999994,  0.000000, -2.000000,  0.000349,  0.000000,  0.000000,  0.000000, -1.000000, -2.000000, -2.000000, -2.000000,  0.000000,2056.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,-34.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        586,1631567478012183418, -0.018935, -0.000013,  0.000000,  0.000000, -0.003491,  0.999994,  0.000000, -2.000000,  0.000698,  0.000000,  0.000000,  0.000000, -1.000000, -2.000000, -2.000000, -2.000000,  0.000000,2056.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,-34.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        587,1631567478032143610, -0.018935, -0.000013,  0.000000,  0.000000, -0.003491,  0.999994,  0.000000, -2.000000, -0.001396,  0.000000,  0.000000,  0.000000, -1.000000, -2.000000, -2.000000, -2.000000,  0.000000,2056.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,-34.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        588,1631567478052097419, -0.018935, -0.000013,  0.000000,  0.000000, -0.003491,  0.999994,  0.000000, -2.000000,  0.000873,  0.000000,  0.000000,  0.000000, -1.000000, -2.000000, -2.000000, -2.000000,  0.000000,2056.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,-34.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        590,1631567478092104105, -0.018935, -0.000013,  0.000000,  0.000000, -0.003491,  0.999994,  0.000000, -2.000000,  0.000000,  0.000000,  0.000000,  0.000000, -1.000000, -2.000000, -2.000000, -2.000000,  0.000000,2056.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,-34.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        592,1631567478131929012, -0.018935, -0.000013,  0.000000,  0.000000, -0.003491,  0.999994,  0.000000, -2.000000, -0.001047,  0.000000,  0.000000,  0.000000, -1.000000, -2.000000, -2.000000, -2.000000,  0.000000,2056.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,-34.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
