time_step,time_stamp,robot_pos_x,robot_pos_y,robot_orien_x,robot_orien_y,robot_orien_z,robot_orien_w,robot_twist_x,robot_twist_y,robot_twist_z,vel_x,vel_y,vel_w,network_delay,c_total_tx_mbps,c_total_rx_mbps,c_total_mbps,c_tx_retires,c_retransmits,c_rssi,c_lqi,c_rssi_status,c_total_tx_mbps2,c_total_rx_mbps2,c_total_mbps2,c_rssi2,c_lqi2,c_rssi_status2,s_total_tx_mbps,s_total_rx_mbps,s_total_mbps,s_tx_retires,s_retransmits,s_rssi,s_lqi,s_rssi_status,s_total_tx_mbps2,s_total_rx_mbps2,s_total_mbps2,s_tx_retires2,s_retransmits2,s_rssi2,s_lqi2,s_rssi_status2
        454,1631567970737487738,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.002443, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        455,1631567970756246362,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.000175,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        456,1631567970776247176,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000, -0.002793,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000,-29.000000, 89.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        457,1631567970796273554,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000, -0.003491,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000,-29.000000, 89.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        458,1631567970816226600,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000, -0.000175,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,-29.000000, 89.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-25.000000, 57.000000, 1,
        459,1631567970836207174,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.002094,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,-29.000000, 89.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-25.000000, 57.000000, 1,
        460,1631567970856263745,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.000349,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,-29.000000, 89.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-25.000000, 57.000000, 1,
        461,1631567970877206987,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.000873,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,-29.000000, 89.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-25.000000, 57.000000, 1,
        462,1631567970896019082,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.000000,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,-29.000000, 89.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-25.000000, 57.000000, 1,
        463,1631567970916047163,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.000000,  0.000000,  0.000000,  0.000000,  4.104000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,-29.000000, 89.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-25.000000, 57.000000, 1,
