time_step,time_stamp,robot_pos_x,robot_pos_y,robot_orien_x,robot_orien_y,robot_orien_z,robot_orien_w,robot_twist_x,robot_twist_y,robot_twist_z,vel_x,vel_y,vel_w,network_delay,c_total_tx_mbps,c_total_rx_mbps,c_total_mbps,c_tx_retires,c_retransmits,c_rssi,c_lqi,c_rssi_status,c_total_tx_mbps2,c_total_rx_mbps2,c_total_mbps2,c_rssi2,c_lqi2,c_rssi_status2,s_total_tx_mbps,s_total_rx_mbps,s_total_mbps,s_tx_retires,s_retransmits,s_rssi,s_lqi,s_rssi_status,s_total_tx_mbps2,s_total_rx_mbps2,s_total_mbps2,s_tx_retires2,s_retransmits2,s_rssi2,s_lqi2,s_rssi_status2
         85,1631564201966181918,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.000000,  0.000000,  0.000000,  0.000000,179.000000,-256.000000,  0.000000, 0,  0.155368,  0.090480,  0.245848,  0.000000,179.000000,-39.000000, 73.000000, 1,
         86,1631564201986103785,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.001396,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000,  0.000000,12649.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.000000,  0.000000,  0.000000,  0.000000,179.000000,-256.000000,  0.000000, 0,  0.155368,  0.090480,  0.245848,  0.000000,179.000000,-30.000000, 74.000000, 1,
         87,1631564202005155319,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.001396,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000,  0.000000,12649.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.000000,  0.000000,  0.000000,  0.000000,179.000000,-256.000000,  0.000000, 0,  0.155368,  0.090480,  0.245848,  0.000000,179.000000,-30.000000, 74.000000, 1,
         88,1631564202025134757,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.001047,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000,  0.000000,12649.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,-33.000000, 94.000000, 1,  0.000000,  0.000000,  0.000000,  0.000000,179.000000,-256.000000,  0.000000, 0,  0.155368,  0.090480,  0.245848,  0.000000,179.000000,-30.000000, 74.000000, 1,
         89,1631564202044997616,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.001920,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000,  0.000000,12649.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,-33.000000, 94.000000, 1,  0.000000,  0.000000,  0.000000,  0.000000,179.000000,-256.000000,  0.000000, 0,  0.155368,  0.090480,  0.245848,  0.000000,179.000000,-30.000000, 74.000000, 1,
         90,1631564202066064300,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.002269,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000,  0.000000,12649.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,-33.000000, 94.000000, 1,  0.000000,  0.000000,  0.000000,  0.000000,179.000000,-256.000000,  0.000000, 0,  0.155368,  0.090480,  0.245848,  0.000000,179.000000,-39.000000, 73.000000, 1,
         91,1631564202084986468,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.001396,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000,  0.000000,12649.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,-33.000000, 94.000000, 1,  0.000000,  0.000000,  0.000000,  0.000000,179.000000,-256.000000,  0.000000, 0,  0.155368,  0.090480,  0.245848,  0.000000,179.000000,-30.000000, 74.000000, 1,
         92,1631564202105890775,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000, -0.000873,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000,  0.000000,12649.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,-33.000000, 94.000000, 1,  0.000000,  0.000000,  0.000000,  0.000000,179.000000,-256.000000,  0.000000, 0,  0.155368,  0.090480,  0.245848,  0.000000,179.000000,-30.000000, 74.000000, 1,
         93,1631564202125943282,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000, -0.003316,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000,  0.000000,12649.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,-33.000000, 94.000000, 1,  0.000000,  0.000000,  0.000000,  0.000000,179.000000,-256.000000,  0.000000, 0,  0.155368,  0.090480,  0.245848,  0.000000,179.000000,-30.000000, 74.000000, 1,
         95,1631564202164765783,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.001396,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000,  0.000000,12649.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,-33.000000, 94.000000, 1,  0.000000,  0.000000,  0.000000,  0.000000,179.000000,-256.000000,  0.000000, 0,  0.155368,  0.090480,  0.245848,  0.000000,179.000000,-39.000000, 73.000000, 1,
