time_step,time_stamp,robot_pos_x,robot_pos_y,robot_orien_x,robot_orien_y,robot_orien_z,robot_orien_w,robot_twist_x,robot_twist_y,robot_twist_z,vel_x,vel_y,vel_w,network_delay,c_total_tx_mbps,c_total_rx_mbps,c_total_mbps,c_tx_retires,c_retransmits,c_rssi,c_lqi,c_rssi_status,c_total_tx_mbps2,c_total_rx_mbps2,c_total_mbps2,c_rssi2,c_lqi2,c_rssi_status2,s_total_tx_mbps,s_total_rx_mbps,s_total_mbps,s_tx_retires,s_retransmits,s_rssi,s_lqi,s_rssi_status,s_total_tx_mbps2,s_total_rx_mbps2,s_total_mbps2,s_tx_retires2,s_retransmits2,s_rssi2,s_lqi2,s_rssi_status2
       1480,1631652819279194002,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000, -0.001047,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000,-37.000000, 69.000000, 1,  0.000000,  0.000000,  0.000000,  0.000000,3683.000000,-256.000000,  0.000000, 0,  0.606152, 81.754336, 82.360488,  0.000000,3683.000000,-39.000000, 80.000000, 1,
       1481,1631652819299139403,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000, -0.000175,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000,-37.000000, 69.000000, 1,  0.000000,  0.000000,  0.000000,  0.000000,3683.000000,-256.000000,  0.000000, 0,  0.606152, 81.754336, 82.360488,  0.000000,3683.000000,-39.000000, 80.000000, 1,
       1482,1631652819319105057,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.000873,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000,-37.000000, 69.000000, 1,  0.000000,  0.000000,  0.000000,  0.000000,3683.000000,-256.000000,  0.000000, 0,  0.606152, 81.754336, 82.360488,  0.000000,3683.000000,-39.000000, 80.000000, 1,
       1483,1631652819339034334,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000, -0.000175,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,-37.000000, 69.000000, 1,  0.000000,  0.000000,  0.000000,  0.000000,3683.000000,-256.000000,  0.000000, 0,  0.606152, 81.754336, 82.360488,  0.000000,3683.000000,-39.000000, 80.000000, 1,
       1484,1631652819359087575,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000, -0.000175,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,-37.000000, 69.000000, 1,  0.000000,  0.000000,  0.000000,  0.000000,3683.000000,-256.000000,  0.000000, 0,  0.606152, 81.754336, 82.360488,  0.000000,3683.000000,-35.000000, 61.000000, 1,
       1485,1631652819378914163,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.000349,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,-37.000000, 55.000000, 1,  0.000000,  0.000000,  0.000000,  0.000000,3683.000000,-256.000000,  0.000000, 0,  0.606152, 81.754336, 82.360488,  0.000000,3683.000000,-35.000000, 61.000000, 1,
       1486,1631652819398964429,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.000524,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,-37.000000, 55.000000, 1,  0.000000,  0.000000,  0.000000,  0.000000,3683.000000,-256.000000,  0.000000, 0,  0.606152, 81.754336, 82.360488,  0.000000,3683.000000,-35.000000, 61.000000, 1,
       1487,1631652819418911927,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.002094,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,-37.000000, 55.000000, 1,  0.000000,  0.000000,  0.000000,  0.000000,3683.000000,-256.000000,  0.000000, 0,  0.606152, 81.754336, 82.360488,  0.000000,3683.000000,-35.000000, 61.000000, 1,
       1488,1631652819438857447,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.000000,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,-37.000000, 55.000000, 1,  0.000000,  0.000000,  0.000000,  0.000000,3683.000000,-256.000000,  0.000000, 0,  0.606152, 81.754336, 82.360488,  0.000000,3683.000000,-39.000000, 80.000000, 1,
       1490,1631652819478832181,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.000175,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,-37.000000, 55.000000, 1,  0.000000,  0.000000,  0.000000,  0.000000,3683.000000,-256.000000,  0.000000, 0,  0.606152, 81.754336, 82.360488,  0.000000,3683.000000,-35.000000, 61.000000, 1,
