time_step,time_stamp,robot_pos_x,robot_pos_y,robot_orien_x,robot_orien_y,robot_orien_z,robot_orien_w,robot_twist_x,robot_twist_y,robot_twist_z,vel_x,vel_y,vel_w,network_delay,c_total_tx_mbps,c_total_rx_mbps,c_total_mbps,c_tx_retires,c_retransmits,c_rssi,c_lqi,c_rssi_status,c_total_tx_mbps2,c_total_rx_mbps2,c_total_mbps2,c_rssi2,c_lqi2,c_rssi_status2,s_total_tx_mbps,s_total_rx_mbps,s_total_mbps,s_tx_retires,s_retransmits,s_rssi,s_lqi,s_rssi_status,s_total_tx_mbps2,s_total_rx_mbps2,s_total_mbps2,s_tx_retires2,s_retransmits2,s_rssi2,s_lqi2,s_rssi_status2
        591,1617817113060286264,  0.000000,  0.000000,  0.000000,  0.000000, -0.000349,  1.000000,  0.000000, -2.000000,  0.000175, -2.000000, -2.000000, -2.000000, 57.278999, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        597,1617817113181068342,  0.000000,  0.000000,  0.000000,  0.000000, -0.000349,  1.000000,  0.000000, -2.000000,  0.004538, -2.000000, -2.000000, -2.000000, 57.278999, 22.373472,  0.458656, 22.832128,58480.000000,81470.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.547096, 23.242728, 23.789824,40289.000000,6517.000000,-31.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        642,1617817114078295839,  0.000000,  0.000000,  0.000000,  0.000000, -0.000349,  1.000000,  0.000000, -2.000000, -0.001047,  0.000000,  0.000000,  0.000000, 38.006001, 23.442328,  0.491960, 23.934288,58865.000000,81470.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.547096, 23.242728, 23.789824,40289.000000,6517.000000,-31.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        688,1617817114996605205,  0.000000,  0.000000,  0.000000,  0.000000, -0.000349,  1.000000,  0.000000, -2.000000, -0.002618,  0.000000,  0.000000,  0.000000, 38.006001, 23.442328,  0.491960, 23.934288,58865.000000,81470.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.547096, 23.242728, 23.789824,40289.000000,6517.000000,-31.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        689,1617817115016663869,  0.000000,  0.000000,  0.000000,  0.000000, -0.000349,  1.000000,  0.000000, -2.000000,  0.000000,  0.000000,  0.000000,  0.000000, 38.006001, 23.442328,  0.491960, 23.934288,58865.000000,81470.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.547096, 23.242728, 23.789824,40289.000000,6517.000000,-31.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        690,1617817115037580340,  0.000000,  0.000000,  0.000000,  0.000000, -0.000349,  1.000000,  0.000000, -2.000000,  0.000524,  0.000000,  0.000000,  0.000000, 51.000000, 23.442328,  0.491960, 23.934288,58865.000000,81470.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.582152, 23.010688, 23.592840,40289.000000,6517.000000,-31.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        691,1617817115056512998,  0.000000,  0.000000,  0.000000,  0.000000, -0.000349,  1.000000,  0.000000, -2.000000, -0.001396,  0.000000,  0.000000,  0.000000, 51.000000, 23.442328,  0.491960, 23.934288,58865.000000,81470.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.582152, 23.010688, 23.592840,40289.000000,6517.000000,-31.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        693,1617817115096390995,  0.000000,  0.000000,  0.000000,  0.000000, -0.000349,  1.000000,  0.000000, -2.000000,  0.003840,  0.000000,  0.000000,  0.000000, 51.000000, 23.442328,  0.491960, 23.934288,58865.000000,81470.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.582152, 23.010688, 23.592840,40289.000000,6517.000000,-31.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        695,1617817115136571661,  0.000000,  0.000000,  0.000000,  0.000000, -0.000349,  1.000000,  0.000000, -2.000000,  0.000698,  0.000000,  0.000000,  0.000000, 51.000000, 23.442328,  0.491960, 23.934288,58865.000000,81470.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.582152, 23.010688, 23.592840,40289.000000,6517.000000,-31.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        697,1617817115177295341,  0.000000,  0.000000,  0.000000,  0.000000, -0.000349,  1.000000,  0.000000, -2.000000,  0.000698,  0.000000,  0.000000,  0.000000, 51.000000, 22.924160,  0.494928, 23.419088,58865.000000,81470.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.582152, 23.010688, 23.592840,40289.000000,6517.000000,-31.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        702,1617817115276136459,  0.000000,  0.000000,  0.000000,  0.000000, -0.000349,  1.000000,  0.000000, -2.000000,  0.001222,  0.000000,  0.000000,  0.000000, 51.000000, 22.924160,  0.494928, 23.419088,58865.000000,81470.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.582152, 23.010688, 23.592840,40289.000000,6517.000000,-31.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        704,1617817115315931715,  0.000000,  0.000000,  0.000000,  0.000000, -0.000349,  1.000000,  0.000000, -2.000000,  0.000524,  0.000000,  0.000000,  0.000000, 51.000000, 22.924160,  0.494928, 23.419088,58865.000000,81470.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.582152, 23.010688, 23.592840,40289.000000,6517.000000,-31.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        705,1617817115337082113,  0.000000,  0.000000,  0.000000,  0.000000, -0.000349,  1.000000,  0.000000, -2.000000,  0.003142,  0.000000,  0.000000,  0.000000, 51.000000, 22.924160,  0.494928, 23.419088,58865.000000,81470.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.582152, 23.010688, 23.592840,40289.000000,6517.000000,-31.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        706,1617817115355984093,  0.000000,  0.000000,  0.000000,  0.000000, -0.000349,  1.000000,  0.000000, -2.000000,  0.000698,  0.000000,  0.000000,  0.000000, 51.000000, 22.924160,  0.494928, 23.419088,58865.000000,81470.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.582152, 23.010688, 23.592840,40289.000000,6517.000000,-31.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        708,1617817115395801605,  0.000000,  0.000000,  0.000000,  0.000000, -0.000349,  1.000000,  0.000000, -2.000000,  0.001920,  0.000000,  0.000000,  0.000000, 51.000000, 22.924160,  0.494928, 23.419088,58865.000000,81470.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.582152, 23.010688, 23.592840,40289.000000,6517.000000,-31.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        710,1617817115435915759,  0.000000,  0.000000,  0.000000,  0.000000, -0.000349,  1.000000,  0.000000, -2.000000,  0.002793,  0.000000,  0.000000,  0.000000, 51.000000, 22.924160,  0.494928, 23.419088,58865.000000,81470.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.582152, 23.010688, 23.592840,40289.000000,6517.000000,-31.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        712,1617817115475675509,  0.000000,  0.000000,  0.000000,  0.000000, -0.000349,  1.000000,  0.000000, -2.000000, -0.003316,  0.000000,  0.000000,  0.000000, 51.000000, 22.924160,  0.494928, 23.419088,58865.000000,81470.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.582152, 23.010688, 23.592840,40289.000000,6517.000000,-31.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        714,1617817115515573061,  0.000000,  0.000000,  0.000000,  0.000000, -0.000349,  1.000000,  0.000000, -2.000000,  0.000873,  0.000000,  0.000000,  0.000000, 51.000000, 22.924160,  0.494928, 23.419088,58865.000000,81470.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.582152, 23.010688, 23.592840,40289.000000,6517.000000,-31.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        716,1617817115555552947,  0.000000,  0.000000,  0.000000,  0.000000, -0.000349,  1.000000,  0.000000, -2.000000, -0.000524,  0.000000,  0.000000,  0.000000, 51.000000, 22.924160,  0.494928, 23.419088,58865.000000,81470.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.582152, 23.010688, 23.592840,40289.000000,6517.000000,-31.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        719,1617817115615394472,  0.000000,  0.000000,  0.000000,  0.000000, -0.000349,  1.000000,  0.000000, -2.000000,  0.000349,  0.000000,  0.000000,  0.000000, 51.000000, 22.924160,  0.494928, 23.419088,58865.000000,81470.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.582152, 23.010688, 23.592840,40289.000000,6517.000000,-31.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        721,1617817115656371582,  0.000000,  0.000000,  0.000000,  0.000000, -0.000349,  1.000000,  0.000000, -2.000000,  0.000175,  0.000000,  0.000000,  0.000000, 51.000000, 22.924160,  0.494928, 23.419088,58865.000000,81470.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.582152, 23.010688, 23.592840,40289.000000,6517.000000,-31.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        722,1617817115675248823,  0.000000,  0.000000,  0.000000,  0.000000, -0.000349,  1.000000,  0.000000, -2.000000,  0.001571,  0.000000,  0.000000,  0.000000, 51.000000, 22.924160,  0.494928, 23.419088,58865.000000,81470.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.582152, 23.010688, 23.592840,40289.000000,6517.000000,-31.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        723,1617817115695217263,  0.000000,  0.000000,  0.000000,  0.000000, -0.000349,  1.000000,  0.000000, -2.000000,  0.001396,  0.000000,  0.000000,  0.000000, 51.000000, 22.924160,  0.494928, 23.419088,58865.000000,81470.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.582152, 23.010688, 23.592840,40289.000000,6517.000000,-31.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        724,1617817115715203692,  0.000000,  0.000000,  0.000000,  0.000000, -0.000349,  1.000000,  0.000000, -2.000000,  0.000873,  0.000000,  0.000000,  0.000000, 51.000000, 22.924160,  0.494928, 23.419088,58865.000000,81470.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.582152, 23.010688, 23.592840,40289.000000,6517.000000,-31.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        725,1617817115735262576,  0.000000,  0.000000,  0.000000,  0.000000, -0.000349,  1.000000,  0.000000, -2.000000,  0.001222,  0.000000,  0.000000,  0.000000, 51.000000, 22.924160,  0.494928, 23.419088,58865.000000,81470.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.582152, 23.010688, 23.592840,40289.000000,6517.000000,-31.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        727,1617817115775095832,  0.000000,  0.000000,  0.000000,  0.000000, -0.000349,  1.000000,  0.000000, -2.000000, -0.000873,  0.000000,  0.000000,  0.000000, 51.000000, 22.924160,  0.494928, 23.419088,58865.000000,81470.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.582152, 23.010688, 23.592840,40289.000000,6517.000000,-31.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
        729,1617817115815072290,  0.000000,  0.000000,  0.000000,  0.000000, -0.000349,  1.000000,  0.000000, -2.000000,  0.000175,  0.000000,  0.000000,  0.000000, 51.000000, 22.924160,  0.494928, 23.419088,58865.000000,81470.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.582152, 23.010688, 23.592840,40289.000000,6517.000000,-32.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
