time_step,time_stamp,robot_pos_x,robot_pos_y,robot_orien_x,robot_orien_y,robot_orien_z,robot_orien_w,robot_twist_x,robot_twist_y,robot_twist_z,vel_x,vel_y,vel_w,network_delay,c_total_tx_mbps,c_total_rx_mbps,c_total_mbps,c_tx_retires,c_retransmits,c_rssi,c_lqi,c_rssi_status,c_total_tx_mbps2,c_total_rx_mbps2,c_total_mbps2,c_rssi2,c_lqi2,c_rssi_status2,s_total_tx_mbps,s_total_rx_mbps,s_total_mbps,s_tx_retires,s_retransmits,s_rssi,s_lqi,s_rssi_status,s_total_tx_mbps2,s_total_rx_mbps2,s_total_mbps2,s_tx_retires2,s_retransmits2,s_rssi2,s_lqi2,s_rssi_status2
14313,1.61781739682938E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.002793,-2,-2,-2,-2,21.860456,0.473976,22.334432,-2,-2,-256,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
14363,1.61781739782866E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.000873,0,0,0,62.958,22.413912,0.533816,22.947728,131952,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.59764,22.59544,23.19308,83924,7043,-40,70,1,-2,-2,-2,-2,-2,-2,-2,-2
14373,1.61781739802729E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.000873,0,0,0,62.958,22.413912,0.533816,22.947728,131952,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.59764,22.59544,23.19308,83924,7043,-40,70,1,-2,-2,-2,-2,-2,-2,-2,-2
14409,1.61781739874599E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.000175,0,0,0,62.958,22.413912,0.533816,22.947728,131952,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.59764,22.59544,23.19308,83924,7043,-40,70,1,-2,-2,-2,-2,-2,-2,-2,-2
14410,1.61781739876691E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0,0,0,0,62.958,22.413912,0.533816,22.947728,131952,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.59764,22.59544,23.19308,83924,7043,-40,70,1,-2,-2,-2,-2,-2,-2,-2,-2
14411,1.61781739878585E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.000873,0,0,0,62.958,22.413912,0.533816,22.947728,131952,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.59764,22.59544,23.19308,83924,7043,-40,70,1,-2,-2,-2,-2,-2,-2,-2,-2
14413,1.61781739882583E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.000349,0,0,0,62.958,22.413912,0.533816,22.947728,131952,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.59764,22.59544,23.19308,83924,7043,-41,69,1,-2,-2,-2,-2,-2,-2,-2,-2
14415,1.61781739886565E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.000873,0,0,0,62.958,22.413912,0.533816,22.947728,131952,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.59764,22.59544,23.19308,83924,7043,-41,69,1,-2,-2,-2,-2,-2,-2,-2,-2
14417,1.61781739890574E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.000349,0,0,0,62.958,22.413912,0.533816,22.947728,131952,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.59764,22.59544,23.19308,84061,7045,-41,69,1,-2,-2,-2,-2,-2,-2,-2,-2
14420,1.61781739896554E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.000698,0,0,0,62.958,22.413912,0.533816,22.947728,132179,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.59764,22.59544,23.19308,84061,7045,-41,69,1,-2,-2,-2,-2,-2,-2,-2,-2
14422,1.61781739900556E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.001571,0,0,0,49.530998,22.413912,0.533816,22.947728,132179,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.59764,22.59544,23.19308,84061,7045,-41,69,1,-2,-2,-2,-2,-2,-2,-2,-2
