time_step,time_stamp,robot_pos_x,robot_pos_y,robot_orien_x,robot_orien_y,robot_orien_z,robot_orien_w,robot_twist_x,robot_twist_y,robot_twist_z,vel_x,vel_y,vel_w,network_delay,c_total_tx_mbps,c_total_rx_mbps,c_total_mbps,c_tx_retires,c_retransmits,c_rssi,c_lqi,c_rssi_status,c_total_tx_mbps2,c_total_rx_mbps2,c_total_mbps2,c_rssi2,c_lqi2,c_rssi_status2,s_total_tx_mbps,s_total_rx_mbps,s_total_mbps,s_tx_retires,s_retransmits,s_rssi,s_lqi,s_rssi_status,s_total_tx_mbps2,s_total_rx_mbps2,s_total_mbps2,s_tx_retires2,s_retransmits2,s_rssi2,s_lqi2,s_rssi_status2
      17917,1618418426051074754,  0.261617,  5.597012,  0.000000,  0.000000, -0.003927,  0.999992,  0.000000, -2.000000, -0.000175,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
      17918,1618418426071029404,  0.261617,  5.597012,  0.000000,  0.000000, -0.003927,  0.999992,  0.000000, -2.000000, -0.001920,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
      17919,1618418426091020215,  0.261617,  5.597012,  0.000000,  0.000000, -0.003927,  0.999992,  0.000000, -2.000000, -0.001222,  0.000000,  0.000000,  0.000000, 41.109001, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
      17920,1618418426110905460,  0.261617,  5.597012,  0.000000,  0.000000, -0.003927,  0.999992,  0.000000, -2.000000,  0.002269,  0.000000,  0.000000,  0.000000, 41.109001, -2.000000, -2.000000, -2.000000,454579.000000,102087.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
      17921,1618418426130879936,  0.261617,  5.597012,  0.000000,  0.000000, -0.003927,  0.999992,  0.000000, -2.000000,  0.003316,  0.000000,  0.000000,  0.000000, 41.109001, -2.000000, -2.000000, -2.000000,454579.000000,102087.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
      17922,1618418426150891017,  0.261617,  5.597012,  0.000000,  0.000000, -0.003927,  0.999992,  0.000000, -2.000000,  0.002269,  0.000000,  0.000000,  0.000000, 41.109001, -2.000000, -2.000000, -2.000000,454579.000000,102087.000000,-35.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
      17923,1618418426171854643,  0.261617,  5.597012,  0.000000,  0.000000, -0.003927,  0.999992,  0.000000, -2.000000, -0.000873,  0.000000,  0.000000,  0.000000, 41.109001, -2.000000, -2.000000, -2.000000,454579.000000,102087.000000,-35.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
      17924,1618418426190790447,  0.261617,  5.597012,  0.000000,  0.000000, -0.003927,  0.999992,  0.000000, -2.000000, -0.000873,  0.000000,  0.000000,  0.000000, 41.109001, -2.000000, -2.000000, -2.000000,454579.000000,102087.000000,-35.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
      17925,1618418426210669721,  0.261617,  5.597012,  0.000000,  0.000000, -0.003927,  0.999992,  0.000000, -2.000000,  0.000698,  0.000000,  0.000000,  0.000000, 41.109001, -2.000000, -2.000000, -2.000000,454579.000000,102087.000000,-35.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.849224, 23.467568, 24.316792, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
      17926,1618418426230693683,  0.261617,  5.597012,  0.000000,  0.000000, -0.003927,  0.999992,  0.000000, -2.000000,  0.000349,  0.000000,  0.000000,  0.000000, 41.109001, -2.000000, -2.000000, -2.000000,454579.000000,102087.000000,-37.000000, 70.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,  0.849224, 23.467568, 24.316792, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
