time_step,time_stamp,robot_pos_x,robot_pos_y,robot_orien_x,robot_orien_y,robot_orien_z,robot_orien_w,robot_twist_x,robot_twist_y,robot_twist_z,vel_x,vel_y,vel_w,network_delay,c_total_tx_mbps,c_total_rx_mbps,c_total_mbps,c_tx_retires,c_retransmits,c_tx_retires_cal,c_retransmits_cal,c_rssi,c_lqi,c_rssi_status,c_total_tx_mbps2,c_total_rx_mbps2,c_total_mbps2,c_rssi2,c_lqi2,c_rssi_status2,s_total_tx_mbps,s_total_rx_mbps,s_total_mbps,s_tx_retires,s_retransmits,s_rssi,s_lqi,s_tx_retires_cal,s_retransmits_cal,s_rssi_status,s_total_tx_mbps2,s_total_rx_mbps2,s_total_mbps2,s_tx_retires2,s_retransmits2,s_tx_retires2_cal,s_retransmits2_cal,s_rssi2,s_lqi2,s_rssi_status2
53100,1.6178111065046E+018,-0.073819,0.000543,0,0,-0.003578,0.999994,0,-2,0.001571,0,0,0,54.747002,14.222984,0.418936,14.64192,3593,75490,0,0,-47,63,1,-2,-2,-2,-2,-2,-2,0.419288,12.960576,13.379864,-2,-2,-54,56,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
53149,1.61781110748383E+018,-0.073819,0.000543,0,0,-0.003578,0.999994,0,-2,-0.001222,0,0,0,38.047001,14.222984,0.418936,14.64192,3595,75496,2,6,-48,62,1,-2,-2,-2,-2,-2,-2,0.419288,12.960576,13.379864,-2,-2,-54,56,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
53185,1.61781110820161E+018,-0.073819,0.000543,0,0,-0.003578,0.999994,0,-2,-0.000349,0,0,0,38.047001,14.222984,0.418936,14.64192,3595,75496,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.419288,12.960576,13.379864,-2,-2,-54,56,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
53186,1.61781110822147E+018,-0.073819,0.000543,0,0,-0.003578,0.999994,0,-2,0.000524,0,0,0,38.047001,14.222984,0.418936,14.64192,3595,75496,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.419288,12.960576,13.379864,-2,-2,-53,57,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
53187,1.61781110824171E+018,-0.073819,0.000543,0,0,-0.003578,0.999994,0,-2,-0.000349,0,0,0,38.047001,14.222984,0.418936,14.64192,3595,75496,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.419288,12.960576,13.379864,-2,-2,-53,57,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
53189,1.61781110828149E+018,-0.073819,0.000543,0,0,-0.003578,0.999994,0,-2,-0.001047,0,0,0,38.047001,14.222984,0.418936,14.64192,3595,75496,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.419288,12.960576,13.379864,-2,-2,-53,57,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
53190,1.61781110830149E+018,-0.073819,0.000543,0,0,-0.003578,0.999994,0,-2,-0.000873,0,0,0,38.047001,14.222984,0.418936,14.64192,3595,75496,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.419288,12.960576,13.379864,-2,-2,-53,57,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
53191,1.61781110832135E+018,-0.073819,0.000543,0,0,-0.003578,0.999994,0,-2,0.000175,0,0,0,38.047001,14.222984,0.418936,14.64192,3595,75496,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.419288,12.960576,13.379864,-2,-2,-53,57,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
53193,1.61781110836126E+018,-0.073819,0.000543,0,0,-0.003578,0.999994,0,-2,-0.001571,0,0,0,38.047001,14.222984,0.418936,14.64192,3595,75496,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.419288,12.960576,13.379864,-2,-2,-54,56,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
53196,1.61781110842231E+018,-0.073819,0.000543,0,0,-0.003578,0.999994,0,-2,-0.000349,0,0,0,38.047001,14.222984,0.418936,14.64192,3595,75496,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.419288,12.960576,13.379864,-2,-2,-54,56,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
