time_step,time_stamp,robot_pos_x,robot_pos_y,robot_orien_x,robot_orien_y,robot_orien_z,robot_orien_w,robot_twist_x,robot_twist_y,robot_twist_z,vel_x,vel_y,vel_w,network_delay,c_total_tx_mbps,c_total_rx_mbps,c_total_mbps,c_tx_retires,c_retransmits,c_rssi,c_lqi,c_rssi_status,c_total_tx_mbps2,c_total_rx_mbps2,c_total_mbps2,c_rssi2,c_lqi2,c_rssi_status2,s_total_tx_mbps,s_total_rx_mbps,s_total_mbps,s_tx_retires,s_retransmits,s_rssi,s_lqi,s_rssi_status,s_total_tx_mbps2,s_total_rx_mbps2,s_total_mbps2,s_tx_retires2,s_retransmits2,s_rssi2,s_lqi2,s_rssi_status2
          0,1631654650544542506,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.002094,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
          1,1631654650565435290,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000, -0.001571,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-53.000000, 57.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
          2,1631654650584430464,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000, -0.001396,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-53.000000, 57.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
          3,1631654650604504674,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000, -0.002793,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-53.000000, 57.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
          4,1631654650624263768,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000, -0.001396,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-53.000000, 57.000000, 1, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
          5,1631654650644264401,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000, -0.000175,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-53.000000, 57.000000, 1, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-53.000000, 57.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-2,
          6,1631654650664220884,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000, -0.001222,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-52.000000, 58.000000, 1, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-53.000000, 57.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0,
          7,1631654650684236374,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.000175,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-52.000000, 58.000000, 1, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-53.000000, 57.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0,
          8,1631654650704135662,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.001047,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-52.000000, 58.000000, 1, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-53.000000, 57.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0,
         10,1631654650744112058,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.001396,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-52.000000, 58.000000, 1, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-53.000000, 57.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0,
         12,1631654650784015568,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000, -0.001745,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-53.000000, 57.000000, 1, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-53.000000, 57.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0,
         14,1631654650823953373,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.001920,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-53.000000, 57.000000, 1, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-53.000000, 57.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0,
         16,1631654650864869620,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.002618,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-54.000000, 56.000000, 1, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,  0.000000,3742.000000,-54.000000, 56.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0,
         18,1631654650903752026,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.008901,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-54.000000, 56.000000, 1, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,  0.000000,3742.000000,-54.000000, 56.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0,
         21,1631654650963711096,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000, -2.000000,  0.000349,  0.000000,  0.000000,  0.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-50.000000, 60.000000, 1, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0, -2.000000, -2.000000, -2.000000,  0.000000,3742.000000,-54.000000, 56.000000, 1, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000,-256.000000,  0.000000, 0,
