time_step,time_stamp,robot_pos_x,robot_pos_y,robot_orien_x,robot_orien_y,robot_orien_z,robot_orien_w,robot_twist_x,robot_twist_y,robot_twist_z,vel_x,vel_y,vel_w,network_delay,c_total_tx_mbps,c_total_rx_mbps,c_total_mbps,c_tx_retires,c_retransmits,c_rssi,c_lqi,c_rssi_status,c_total_tx_mbps2,c_total_rx_mbps2,c_total_mbps2,c_rssi2,c_lqi2,c_rssi_status2,s_total_tx_mbps,s_total_rx_mbps,s_total_mbps,s_tx_retires,s_retransmits,s_rssi,s_lqi,s_rssi_status,s_total_tx_mbps2,s_total_rx_mbps2,s_total_mbps2,s_tx_retires2,s_retransmits2,s_rssi2,s_lqi2,s_rssi_status2
814,1.61781234871405E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,0.000698,-2,-2,-2,-2,-2,-2,-2,-2,-2,-61,49,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
817,1.61781234877386E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,0.000349,-2,-2,-2,-2,-2,-2,-2,-2,-2,-61,49,1,-2,-2,-2,-2,-2,-2,0.59256,80.248768,80.841328,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
833,1.61781234909327E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,-0.000873,-2,-2,-2,-2,-2,-2,-2,-2,-2,-61,49,1,-2,-2,-2,-2,-2,-2,0.59256,80.248768,80.841328,-2,-2,-60,50,1,-2,-2,-2,-2,-2,-2,-2,-2
834,1.61781234911322E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,-0.000349,-2,-2,-2,-2,-2,-2,-2,-2,-2,-61,49,1,-2,-2,-2,-2,-2,-2,0.59256,80.248768,80.841328,-2,-2,-60,50,1,-2,-2,-2,-2,-2,-2,-2,-2
835,1.61781234913322E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,0.000175,-2,-2,-2,-2,-2,-2,-2,-2,-2,-61,49,1,-2,-2,-2,-2,-2,-2,0.59256,80.248768,80.841328,-2,-2,-60,50,1,-2,-2,-2,-2,-2,-2,-2,-2
838,1.61781234919303E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,0.00192,0,0,0,-2,-2,-2,-2,-2,-2,-61,49,1,-2,-2,-2,-2,-2,-2,0.59256,80.248768,80.841328,-2,-2,-60,50,1,-2,-2,-2,-2,-2,-2,-2,-2
840,1.61781234923307E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,-0.000349,0,0,0,-2,-2,-2,-2,-2,-2,-61,49,1,-2,-2,-2,-2,-2,-2,0.59256,80.248768,80.841328,-2,-2,-60,50,1,-2,-2,-2,-2,-2,-2,-2,-2
841,1.61781234925292E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,-0.001222,0,0,0,-2,-2,-2,-2,-2,-2,-60,50,1,-2,-2,-2,-2,-2,-2,0.59256,80.248768,80.841328,-2,-2,-59,51,1,-2,-2,-2,-2,-2,-2,-2,-2
842,1.61781234927287E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,-0.001745,0,0,0,-2,-2,-2,-2,-2,-2,-60,50,1,-2,-2,-2,-2,-2,-2,0.59256,80.248768,80.841328,-2,-2,-59,51,1,-2,-2,-2,-2,-2,-2,-2,-2
843,1.61781234929293E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,-0.000349,0,0,0,-2,-2,-2,-2,1269,81031,-60,50,1,-2,-2,-2,-2,-2,-2,0.59256,80.248768,80.841328,-2,-2,-59,51,1,-2,-2,-2,-2,-2,-2,-2,-2
845,1.61781234933279E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,0.002793,0,0,0,13.8,-2,-2,-2,1269,81031,-60,50,1,-2,-2,-2,-2,-2,-2,0.59256,80.248768,80.841328,-2,-2,-59,51,1,-2,-2,-2,-2,-2,-2,-2,-2
849,1.61781234941266E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,0.001571,0,0,0,13.8,76.938864,0.585184,77.524048,1269,81031,-60,50,1,-2,-2,-2,-2,-2,-2,0.59256,80.248768,80.841328,-2,-2,-59,51,1,-2,-2,-2,-2,-2,-2,-2,-2
851,1.61781234945258E+018,-0.054033,-2.8E-05,0,0,-0.00096,1,0,-2,-0.001047,0,0,0,13.8,76.938864,0.585184,77.524048,1269,81031,-60,50,1,-2,-2,-2,-2,-2,-2,0.59256,80.248768,80.841328,-2,-2,-59,51,1,-2,-2,-2,-2,-2,-2,-2,-2
